Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""192076920X""","=""9781920769208""",0,4.28,Scribe,Paperback,936,2004,2003,,2026/02/12,to-read,to-read (#74),to-read,,,,0,0
106331525,Donut Economics (Korean Edition),Kate Raworth,"Raworth, Kate",,"=""""","=""""",0,4.16,Academic college,Paperback,0,2018,2017,,2026/02/11,to-read,to-read (#73),to-read,,,,0,0
176530394,Abundance,Ezra Klein,"Klein, Ezra",Derek Thompson,"=""1668023504""","=""9781668023501""",0,3.93,Avid Reader Press / Simon & Schuster,Kindle Edition,297,2025,2025,,2026/01/31,currently-reading,currently-reading (#2),currently-reading,,,,1,0
221997173,"A Moment's Shadow (Verity Kent Mysteries, #8)",Anna Lee Huber,"Huber, Anna Lee",,"=""1496740092""","=""9781496740090""",0,3.88,Kensington,Paperback,368,2025,2025,,2026/01/31,currently-reading,currently-reading (#1),currently-reading,,,,1,0
68333,"Beggars in Spain (Sleepless, #1)",Nancy Kress,"Kress, Nancy",,"=""0060733489""","=""9780060733483""",4,3.93,Harper Voyager,Paperback,400,2004,1993,,2025/10/30,,,read,,,,1,0
215020997,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""1035064642""","=""9781035064649""",0,3.94,Tor,Hardcover,535,2025,2025,,2026/01/28,to-read,to-read (#72),to-read,,,,0,0
17859574,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,"Adams, Scott",,"=""1591846919""","=""9781591846918""",0,4.06,Penguin Portfolio,Hardcover,248,2013,2013,,2026/01/18,to-read,to-read (#71),to-read,,,,0,0
46787,Uncle Tom’s Cabin,Harriet Beecher Stowe,"Stowe, Harriet Beecher",,"=""""","=""""",0,3.92,Wordsworth Classics,Paperback,438,1999,1852,,2026/01/16,to-read,to-read (#70),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,,2026/01/15,to-read,to-read (#69),to-read,,,,0,0
223001257,The Correspondent,Virginia      Evans,"Evans, Virginia",,"=""0593798430""","=""9780593798430""",0,4.54,Crown,Hardcover,304,2025,2025,,2026/01/07,to-read,to-read (#68),to-read,,,,0,0
